config,filename,label,expected_decision,doc_type,mode,specialty,data_strategy,extraction_quality,processing_path,score,text_score,visual_score,threshold_uniform,valid_uniform,threshold_adaptive,valid_adaptive,expected_valid
A,clinical/hematosul_hemograma.pdf,clinical,valid,exame_lab,digital,clinica_geral,real,0.652,pdf_native,0.9913,,0.9913,0.5,1,0.5,1,1
B,clinical/hematosul_hemograma.pdf,clinical,valid,exame_lab,digital,clinica_geral,real,0.652,pdf_native,0.7007,0.7007,,0.5,1,0.5,1,1
C,clinical/hematosul_hemograma.pdf,clinical,valid,exame_lab,digital,clinica_geral,real,0.652,pdf_native,0.846,0.7007,0.9913,0.5,1,0.5,1,1
A,clinical/synthetic_laudo_raiox.png,clinical,valid,laudo_imagem,digital,radiologia,self-generated,0.878,image_direct,0.997,,0.997,0.5,1,0.5,1,1
B,clinical/synthetic_laudo_raiox.png,clinical,valid,laudo_imagem,digital,radiologia,self-generated,0.878,image_direct,0.5058,0.5058,,0.5,1,0.5,1,1
C,clinical/synthetic_laudo_raiox.png,clinical,valid,laudo_imagem,digital,radiologia,self-generated,0.878,image_direct,0.6532,0.5058,0.997,0.5,1,0.5,1,1
A,clinical/synthetic_cartao_vacina.png,clinical,valid,cartao_vacina,digital,clinica_geral,self-generated,0.7102,image_direct,0.9613,,0.9613,0.5,1,0.5,1,1
B,clinical/synthetic_cartao_vacina.png,clinical,valid,cartao_vacina,digital,clinica_geral,self-generated,0.7102,image_direct,0.4612,0.4612,,0.5,0,0.5,0,1
C,clinical/synthetic_cartao_vacina.png,clinical,valid,cartao_vacina,digital,clinica_geral,self-generated,0.7102,image_direct,0.6113,0.4612,0.9613,0.5,1,0.5,1,1
A,clinical/synthetic_evolucao_enfermagem.png,clinical,valid,evolucao,digital,enfermagem,self-generated,0.87,image_direct,0.9064,,0.9064,0.5,1,0.5,1,1
B,clinical/synthetic_evolucao_enfermagem.png,clinical,valid,evolucao,digital,enfermagem,self-generated,0.87,image_direct,0.822,0.822,,0.5,1,0.5,1,1
C,clinical/synthetic_evolucao_enfermagem.png,clinical,valid,evolucao,digital,enfermagem,self-generated,0.87,image_direct,0.8473,0.822,0.9064,0.5,1,0.5,1,1
A,non_clinical/agehab_contrato_locacao.pdf,non-clinical,invalid,contrato,digital,,real,0.9227,pdf_native,0.8223,,0.8223,0.5,1,0.5,1,0
B,non_clinical/agehab_contrato_locacao.pdf,non-clinical,invalid,contrato,digital,,real,0.9227,pdf_native,0.1519,0.1519,,0.5,0,0.5,0,0
C,non_clinical/agehab_contrato_locacao.pdf,non-clinical,invalid,contrato,digital,,real,0.9227,pdf_native,0.3531,0.1519,0.8223,0.5,0,0.5,0,0
A,non_clinical/crecims_contrato_sem_garantia.pdf,non-clinical,invalid,contrato,digital,,real,0.9245,pdf_native,0.7897,,0.7897,0.5,1,0.5,1,0
B,non_clinical/crecims_contrato_sem_garantia.pdf,non-clinical,invalid,contrato,digital,,real,0.9245,pdf_native,0.1624,0.1624,,0.5,0,0.5,0,0
C,non_clinical/crecims_contrato_sem_garantia.pdf,non-clinical,invalid,contrato,digital,,real,0.9245,pdf_native,0.3506,0.1624,0.7897,0.5,0,0.5,0,0
A,non_clinical/mg_nota_fiscal_modelo1.pdf,non-clinical,invalid,nota_fiscal,digital,,real,0.9679,pdf_native,0.8992,,0.8992,0.5,1,0.5,1,0
B,non_clinical/mg_nota_fiscal_modelo1.pdf,non-clinical,invalid,nota_fiscal,digital,,real,0.9679,pdf_native,0.3007,0.3007,,0.5,0,0.5,0,0
C,non_clinical/mg_nota_fiscal_modelo1.pdf,non-clinical,invalid,nota_fiscal,digital,,real,0.9679,pdf_native,0.4802,0.3007,0.8992,0.5,0,0.5,0,0
A,non_clinical/camara_fatura.pdf,non-clinical,invalid,fatura,digital,,real,0.845,pdf_native,0.405,,0.405,0.5,0,0.5,0,0
B,non_clinical/camara_fatura.pdf,non-clinical,invalid,fatura,digital,,real,0.845,pdf_native,0.2269,0.2269,,0.5,0,0.5,0,0
C,non_clinical/camara_fatura.pdf,non-clinical,invalid,fatura,digital,,real,0.845,pdf_native,0.2803,0.2269,0.405,0.5,0,0.5,0,0
A,non_clinical/synthetic_selfie.jpg,non-clinical,invalid,selfie,photo,,self-generated,0.0,image_direct,0.2996,,0.2996,0.5,0,0.5,0,0
B,non_clinical/synthetic_selfie.jpg,non-clinical,invalid,selfie,photo,,self-generated,0.0,image_direct,0.5,,,0.5,1,0.5,1,0
