config,filename,label,expected_decision,doc_type,mode,specialty,data_strategy,extraction_quality,processing_path,score,text_score,visual_score,threshold_uniform,valid_uniform,threshold_adaptive,valid_adaptive,expected_valid
A,clinical/cfm_atestado_PREENCHIDO.pdf,clinical,valid,atestado,digital,clinica_geral,template-fill,0.8448,ocr,0.4419,,0.4419,0.7,0,0.7,0,1
B,clinical/cfm_atestado_PREENCHIDO.pdf,clinical,valid,atestado,digital,clinica_geral,template-fill,0.8448,ocr,0.5109,0.5109,,0.7,0,0.7,0,1
C,clinical/cfm_atestado_PREENCHIDO.pdf,clinical,valid,atestado,digital,clinica_geral,template-fill,0.8448,ocr,0.4902,0.5109,0.4419,0.7,0,0.7,0,1
A,clinical/cfm_receituario_PREENCHIDO.pdf,clinical,valid,prescricao,digital,clinica_geral,template-fill,0.8125,ocr,0.5295,,0.5295,0.7,0,0.7,0,1
B,clinical/cfm_receituario_PREENCHIDO.pdf,clinical,valid,prescricao,digital,clinica_geral,template-fill,0.8125,ocr,0.5198,0.5198,,0.7,0,0.7,0,1
C,clinical/cfm_receituario_PREENCHIDO.pdf,clinical,valid,prescricao,digital,clinica_geral,template-fill,0.8125,ocr,0.5227,0.5198,0.5295,0.7,0,0.7,0,1
A,clinical/lme_federal_PREENCHIDO.pdf,clinical,valid,lme,digital,endocrinologia,template-fill,0.8779,ocr,0.8329,,0.8329,0.7,1,0.7,1,1
B,clinical/lme_federal_PREENCHIDO.pdf,clinical,valid,lme,digital,endocrinologia,template-fill,0.8779,ocr,0.5193,0.5193,,0.7,0,0.7,0,1
C,clinical/lme_federal_PREENCHIDO.pdf,clinical,valid,lme,digital,endocrinologia,template-fill,0.8779,ocr,0.6133,0.5193,0.8329,0.7,0,0.7,0,1
A,clinical/encaminhamento_se_PREENCHIDO.pdf,clinical,valid,encaminhamento,digital,cardiologia,template-fill,0.8538,ocr,0.9613,,0.9613,0.7,1,0.6,1,1
B,clinical/encaminhamento_se_PREENCHIDO.pdf,clinical,valid,encaminhamento,digital,cardiologia,template-fill,0.8538,ocr,0.4981,0.4981,,0.7,0,0.6,0,1
C,clinical/encaminhamento_se_PREENCHIDO.pdf,clinical,valid,encaminhamento,digital,cardiologia,template-fill,0.8538,ocr,0.6371,0.4981,0.9613,0.7,0,0.6,1,1
A,clinical/goiania_laudo_pericial_PREENCHIDO.pdf,clinical,valid,laudo_pericial,digital,medicina_trabalho,template-fill,0.8256,ocr,0.3125,,0.3125,0.7,0,0.7,0,1
B,clinical/goiania_laudo_pericial_PREENCHIDO.pdf,clinical,valid,laudo_pericial,digital,medicina_trabalho,template-fill,0.8256,ocr,0.4937,0.4937,,0.7,0,0.7,0,1
C,clinical/goiania_laudo_pericial_PREENCHIDO.pdf,clinical,valid,laudo_pericial,digital,medicina_trabalho,template-fill,0.8256,ocr,0.4394,0.4937,0.3125,0.7,0,0.7,0,1
A,clinical/hematosul_hemograma.pdf,clinical,valid,exame_lab,digital,clinica_geral,real,0.652,pdf_native,0.9895,,0.9895,0.7,1,0.7,1,1
B,clinical/hematosul_hemograma.pdf,clinical,valid,exame_lab,digital,clinica_geral,real,0.652,pdf_native,0.5275,0.5275,,0.7,0,0.7,0,1
C,clinical/hematosul_hemograma.pdf,clinical,valid,exame_lab,digital,clinica_geral,real,0.652,pdf_native,0.7585,0.5275,0.9895,0.7,1,0.7,1,1
A,clinical/synthetic_laudo_raiox.png,clinical,valid,laudo_imagem,digital,radiologia,self-generated,0.878,image_direct,0.6783,,0.6783,0.7,0,0.7,0,1
B,clinical/synthetic_laudo_raiox.png,clinical,valid,laudo_imagem,digital,radiologia,self-generated,0.878,image_direct,0.5022,0.5022,,0.7,0,0.7,0,1
C,clinical/synthetic_laudo_raiox.png,clinical,valid,laudo_imagem,digital,radiologia,self-generated,0.878,image_direct,0.5551,0.5022,0.6783,0.7,0,0.7,0,1
A,clinical/synthetic_cartao_vacina.png,clinical,valid,cartao_vacina,digital,clinica_geral,self-generated,0.7102,image_direct,0.8982,,0.8982,0.7,1,0.7,1,1
B,clinical/synthetic_cartao_vacina.png,clinical,valid,cartao_vacina,digital,clinica_geral,self-generated,0.7102,image_direct,0.4971,0.4971,,0.7,0,0.7,0,1
C,clinical/synthetic_cartao_vacina.png,clinical,valid,cartao_vacina,digital,clinica_geral,self-generated,0.7102,image_direct,0.6174,0.4971,0.8982,0.7,0,0.7,0,1
A,clinical/synthetic_evolucao_enfermagem.png,clinical,valid,evolucao,digital,enfermagem,self-generated,0.87,image_direct,0.7525,,0.7525,0.7,1,0.7,1,1
B,clinical/synthetic_evolucao_enfermagem.png,clinical,valid,evolucao,digital,enfermagem,self-generated,0.87,image_direct,0.5395,0.5395,,0.7,0,0.7,0,1
C,clinical/synthetic_evolucao_enfermagem.png,clinical,valid,evolucao,digital,enfermagem,self-generated,0.87,image_direct,0.6034,0.5395,0.7525,0.7,0,0.7,0,1
A,clinical/cfm_atestado_PREENCHIDO_foto.jpg,clinical,valid,atestado,photo,clinica_geral,self-generated,0.8391,image_direct,0.6318,,0.6318,0.7,0,0.7,0,1
B,clinical/cfm_atestado_PREENCHIDO_foto.jpg,clinical,valid,atestado,photo,clinica_geral,self-generated,0.8391,image_direct,0.5109,0.5109,,0.7,0,0.7,0,1
C,clinical/cfm_atestado_PREENCHIDO_foto.jpg,clinical,valid,atestado,photo,clinica_geral,self-generated,0.8391,image_direct,0.5471,0.5109,0.6318,0.7,0,0.7,0,1
A,non_clinical/agehab_contrato_locacao.pdf,non-clinical,invalid,contrato,digital,,real,0.9227,pdf_native,0.7653,,0.7653,0.7,1,0.7,1,0
B,non_clinical/agehab_contrato_locacao.pdf,non-clinical,invalid,contrato,digital,,real,0.9227,pdf_native,0.4525,0.4525,,0.7,0,0.7,0,0
C,non_clinical/agehab_contrato_locacao.pdf,non-clinical,invalid,contrato,digital,,real,0.9227,pdf_native,0.5464,0.4525,0.7653,0.7,0,0.7,0,0
A,non_clinical/crecims_contrato_sem_garantia.pdf,non-clinical,invalid,contrato,digital,,real,0.9245,pdf_native,0.8456,,0.8456,0.7,1,0.7,1,0
B,non_clinical/crecims_contrato_sem_garantia.pdf,non-clinical,invalid,contrato,digital,,real,0.9245,pdf_native,0.4532,0.4532,,0.7,0,0.7,0,0
